Комната;Наименовние;Цена;Магазин;Ссылка
Гостиная;Диван;18999;IKEA;https://www.ikea.com/ru/ru/p/gimmarp-gimmarp-3-mestnyy-divan-krovat-rudorna-svetlo-seryy-90447299/
Гостиная;Журнальный столик;2999;IKEA;https://www.ikea.com/ru/ru/p/lack-lakk-zhurnalnyy-stol-cherno-korichnevyy-10446067/
Гостиная;Тумба под телевизор;13799;IKEA;https://www.ikea.com/ru/ru/p/besta-besto-tumba-pod-tv-cherno-korichnevyy-lappvik-stubbarp-cherno-korichnevyy-prozrachnoe-steklo-s19329257/
Гостиная;Книжный шкаф;5999;IKEA;https://www.ikea.com/ru/ru/p/brimnes-brimnes-stellazh-chernyy-10383338/
Гостиная;Ковер;1399;IKEA;https://www.ikea.com/ru/ru/p/tiphede-tiphede-kover-bezvorsovyy-chernyy-neokrashennyy-40470046/
Гостиная;Кашпо;1299;IKEA;https://www.ikea.com/ru/ru/p/gojibaer-goyiber-kashpo-na-opore-d-doma-ulicy-chernyy-80496855/
Гостиная;Итого;44494;;
Спальня;Кровать;18999;HOFF;https://hoff.ru/catalog/spalnya/krovati/krovati_s_podemnym_mehanizmom/krovat_s_podyemnym_mekhanizmom_mila_id6910342/?articul=80369047
Спальня;Тумбочка прикроватная;9999;HOFF;https://hoff.ru/catalog/spalnya/tumby_i_komody/tumby/tumba_sonata_id2816814/?articul=80308925
Спальня;Светильник ;999;HOFF;https://hoff.ru/catalog/tovary_dlya_doma/osveschenie/nastolnye_lampy/dekorativnye/lampa_nastolnaya_lyuchiya_610_id2367149/?articul=80304774
Спальня;Ковер ;999;HOFF;https://hoff.ru/catalog/tovary_dlya_doma/kovry/kovry_sheggi/kovyer_lonzh_id1785054/?articul=80295819
Спальня;Туалетный столик ;11999;HOFF;https://hoff.ru/catalog/spalnya/tualetnye_stoliki_i_banketki/tyaletnye_stoliki/tualetnyy_stol_linda_id5233860/?articul=80336584
Спальня;Пуф;1999;HOFF;https://hoff.ru/catalog/gostinaya/pufy_i_banketki/pufy/puf_rubi_id110240/?articul=80064526
Спальня;Итого;44994;;
